Station Name,Station ID,Station Latitude,Station Longitude
Market St & Cherry St,408,40.71076228,-73.99400398
DeKalb Ave & Skillman St,409,40.6906495,-73.95643107
Suffolk St & Stanton St,410,40.72066442,-73.98517977
E 6 St & Avenue D,411,40.72228087,-73.97668709
Forsyth St & Canal St,412,40.7158155,-73.99422366
Pearl St & Anchorage Pl,414,40.70281858,-73.98765762
Pearl St & Hanover Square,415,40.7047177,-74.00926027
Cumberland St & Lafayette Ave,416,40.68753406,-73.97265183
Barclay St & Church St,417,40.71291224,-74.01020234
Front St & Gold St,418,40.70224,-73.982578
Carlton Ave & Park Ave,419,40.69580705,-73.97355569
Clermont Ave & Lafayette Ave,420,40.68764484,-73.96968902
Clermont Ave & Park Ave,421,40.69573398,-73.97129668
W 59 St & 10 Ave,422,40.770513,-73.988038
W 54 St & 9 Ave,423,40.76584941,-73.98690506
West St & Chambers St,426,40.71754834,-74.01322069
Bus Slip & State St,427,40.701907,-74.013942
E 3 St & 1 Ave,428,40.72467721,-73.98783413
York St & Jay St,430,40.7014851,-73.98656928
E 7 St & Avenue A,432,40.72621788,-73.98379855
E 13 St & Avenue A,433,40.72955361,-73.98057249
W 21 St & 6 Ave,435,40.74173969,-73.99415556
Hancock St & Bedford Ave,436,40.68216564,-73.95399026
Macon St & Nostrand Ave,437,40.68098339,-73.95004798
St Marks Pl & 1 Ave,438,40.72779126,-73.98564945
E 4 St & 2 Ave,439,40.7262807,-73.98978041
E 45 St & 3 Ave,440,40.75255434,-73.97282625
E 52 St & 2 Ave,441,40.756014,-73.967416
W 27 St & 7 Ave,442,40.746647,-73.993915
Bedford Ave & S 9 St,443,40.70853074,-73.96408963
E 10 St & Avenue A,445,40.72740794,-73.98142006
W 24 St & 7 Ave,446,40.74487634,-73.99529885
8 Ave & W 52 St,447,40.76370739,-73.9851615
W 37 St & 10 Ave,448,40.75660359,-73.9979009
W 52 St & 9 Ave,449,40.76461837,-73.98789473
W 49 St & 8 Ave,450,40.76227205,-73.98788205
W 22 St & 8 Ave,453,40.74475148,-73.99915362
E 51 St & 1 Ave,454,40.75455731,-73.96592976
1 Ave & E 44 St,455,40.75001986,-73.96905301
E 53 St & Madison Ave,456,40.7597108,-73.97402311
Broadway & W 58 St,457,40.76695317,-73.98169333
11 Ave & W 27 St,458,40.751396,-74.005226
W 20 St & 11 Ave,459,40.746745,-74.007756
S 4 St & Wythe Ave,460,40.71285887,-73.96590294
E 20 St & 2 Ave,461,40.73587678,-73.98205027
W 22 St & 10 Ave,462,40.74691959,-74.00451887
Broadway & W 41 St,465,40.75513557,-73.98658032
W 25 St & 6 Ave,466,40.74395411,-73.99144871
Dean St & 4 Ave,467,40.68312489,-73.97895137
Broadway & W 56 St,468,40.7652654,-73.98192338
Broadway & W 53 St,469,40.76344058,-73.98268129
W 20 St & 8 Ave,470,40.74345335,-74.00004031
Grand St & Havemeyer St,471,40.71286844,-73.95698119
E 32 St & Park Ave,472,40.7457121,-73.98194829
Rivington St & Chrystie St,473,40.72110063,-73.9919254
5 Ave & E 29 St,474,40.7451677,-73.98683077
E 31 St & 3 Ave,476,40.74394314,-73.97966069
W 41 St & 8 Ave,477,40.75640548,-73.9900262
11 Ave & W 41 St,478,40.76030096,-73.99884222
9 Ave & W 45 St,479,40.76019252,-73.9912551
W 53 St & 10 Ave,480,40.76669671,-73.99061728
S 3 St & Bedford Ave,481,40.71260486,-73.96264403
W 15 St & 7 Ave,482,40.73935542,-73.99931783
E 12 St & 3 Ave,483,40.73223272,-73.98889957
W 44 St & 5 Ave,484,40.75500254,-73.98014437
W 37 St & 5 Ave,485,40.75038009,-73.98338988
Broadway & W 29 St,486,40.7462009,-73.98855723
E 20 St & FDR Drive,487,40.73314259,-73.97573881
8 Ave & W 33 St,490,40.751551,-73.993934
E 24 St & Park Ave S,491,40.74096374,-73.98602213
W 33 St & 7 Ave,492,40.75019995,-73.99093085
W 26 St & 8 Ave,494,40.74734825,-73.99723551
W 47 St & 10 Ave,495,40.76269882,-73.99301222
E 16 St & 5 Ave,496,40.73726186,-73.99238967
E 17 St & Broadway,497,40.73704984,-73.99009296
Broadway & W 32 St,498,40.74854862,-73.98808416
Broadway & W 60 St,499,40.76915505,-73.98191841
Broadway & W 51 St,500,40.76228826,-73.98336183
FDR Drive & E 35 St,501,40.744219,-73.97121214
Henry St & Grand St,502,40.714215,-73.981346
E 20 St & Park Ave,503,40.73827428,-73.98751968
1 Ave & E 16 St,504,40.73221853,-73.98165557
6 Ave & W 33 St,505,40.74901271,-73.98848395
E 25 St & 2 Ave,507,40.73912601,-73.97973776
W 46 St & 11 Ave,508,40.76341379,-73.99667444
9 Ave & W 22 St,509,40.7454973,-74.00197139
W 56 St & 10 Ave,513,40.768254,-73.988639
12 Ave & W 40 St,514,40.76087502,-74.00277668
W 43 St & 10 Ave,515,40.76009437,-73.99461843
E 47 St & 1 Ave,516,40.75206862,-73.96784384
Pershing Square South,517,40.751581,-73.97791
E 39 St & 2 Ave,518,40.74780373,-73.9734419
Pershing Square North,519,40.751873,-73.977706
W 52 St & 5 Ave,520,40.75992262,-73.97648516
E 51 St & Lexington Ave,522,40.75714758,-73.97207836
W 38 St & 8 Ave,523,40.75466591,-73.99138152
W 43 St & 6 Ave,524,40.75527307,-73.98316936
W 34 St & 11 Ave,525,40.75594159,-74.0021163
E 33 St & 5 Ave,526,40.74765947,-73.98490707
E 33 St & 2 Ave,527,40.744023,-73.976056
2 Ave & E 31 St,528,40.74290902,-73.97706058
W 42 St & 8 Ave,529,40.7575699,-73.99098507
11 Ave & W 59 St,530,40.771522,-73.990541
Forsyth St & Broome St,531,40.71893904,-73.99266288
S 5 Pl & S 5 St,532,40.710451,-73.960876
Broadway & W 38 St,533,40.75299641,-73.98721619
Water - Whitehall Plaza,534,40.70255065,-74.0127234
1 Ave & E 30 St,536,40.74144387,-73.97536082
Lexington Ave & E 24 St,537,40.74025878,-73.98409214
Metropolitan Ave & Bedford Ave,539,40.71534825,-73.96024116
